adresse,postnummer,by,pris,type,kvm,vaerelser,byggeaar,energimaerke,liggetid,afstand_m,afstand_vindm_m,afstand_sol_m,lat,lng,url
"Storstrømsvej 22, Guldborg",4862,Guldborg,595000,Fritidshus,132,5.0,1907,G,146,64.6,1549.0,8455.0,54.87273,11.75322,https://www.boliga.dk/adresse/storstroemsvej-22-4862-guldborg-1187219462
Langsand 89,6960,Hvide Sande,2345000,Fritidshus,35,2.0,2023,-,46,64.6,542.0,488.0,56.00745,8.13277,https://www.boliga.dk/adresse/langsand-89-6960-hvide-sande-77422194
Holger Drachmanns Vej 2B,9900,Frederikshavn,2095000,Fritidshus,146,5.0,1981,C,846,64.7,760.0,2081.0,57.40648,10.52357,https://www.boliga.dk/adresse/holger-drachmanns-vej-2b-9900-frederikshavn-1221527831
"Løkkegade 34, Gudhjem",3760,Gudhjem,6595000,Fritidshus,104,6.0,1958,-,265,64.8,2299.0,9708.0,55.21384,14.96663,https://www.boliga.dk/adresse/loekkegade-34-3760-gudhjem-659651519
Kystvejen 84,4400,Kalundborg,6495000,Villa/Parcelhus,185,7.0,1932,E,28,64.8,2300.0,3843.0,55.68609,11.05403,https://www.boliga.dk/adresse/kystvejen-84-4400-kalundborg-331305149
Helge Rodes Vej 4B,9900,Frederikshavn,1195000,Helårsgrund,0,0.0,0,-,453,64.9,854.0,2354.0,57.40922,10.52327,https://www.boliga.dk/adresse/helge-rodes-vej-4b-9900-frederikshavn-1317528508
Kelstrupvej 90G,6100,Haderslev,6750000,Fritidshus,125,4.0,1995,-,39,65.1,2456.0,1305.0,55.19191,9.58243,https://www.boliga.dk/adresse/kelstrupvej-90g-6100-haderslev-1998702533
Mor Markers Gænge 7,3740,Svaneke,7500000,Fritidshus,103,3.0,1995,-,41,65.1,1393.0,1852.0,55.14705,15.10572,https://www.boliga.dk/adresse/mor-markers-gaenge-7-3740-svaneke-351592278
Søvej 3,2791,Dragør,8495000,Villa/Parcelhus,184,6.0,1974,f,488,65.2,8937.0,6651.0,55.57125,12.62295,https://www.boliga.dk/adresse/soevej-3-2791-dragoer-627592141
Sandvigvej 15,4750,Lundby,2695000,Fritidshus,80,8.0,1962,-,41,65.3,4550.0,9077.0,55.11773,11.72079,https://www.boliga.dk/adresse/sandvigvej-15-4750-lundby-1026825257
Storegade 70,3700,Rønne,3250000,Villa/Parcelhus,284,8.0,1900,D,91,65.4,2369.0,1539.0,55.10457,14.69753,https://www.boliga.dk/adresse/storegade-70-3700-roenne-1548991909
"Fiskervænget 26, Dyreborg",5600,Faaborg,4995000,Villa/Parcelhus,187,5.0,1917,D,99,65.6,5318.0,11947.0,55.06691,10.21258,https://www.boliga.dk/adresse/fiskervaenget-26-5600-faaborg-1037305361
Skødshovedgård 35,8420,Knebel,5900000,Fritidshus,64,4.0,1971,-,55,65.8,8290.0,7454.0,56.19348,10.35656,https://www.boliga.dk/adresse/skoedshovedgaard-35-8420-knebel-1800805365
Tinkerup Strandvej 64,3250,Gilleleje,13975000,Fritidshus,124,4.0,1972,-,183,65.9,1943.0,7231.0,56.12282,12.25429,https://www.boliga.dk/adresse/tinkerup-strandvej-64-3250-gilleleje-121156442
"Søbakken 4, Sandager Næs",5610,Assens,4250000,Fritidshus,122,6.0,2003,-,506,66.0,4605.0,2452.0,55.33385,9.8784,https://www.boliga.dk/adresse/soebakken-4-5610-assens-1676800259
Snerlevænget 1,5450,Otterup,2390000,Fritidshus,60,2.0,1950,-,0,66.1,2581.0,11325.0,55.59813,10.38455,https://www.boliga.dk/adresse/snerlevaenget-1-5450-otterup-1455619045
Vænget 41,3630,Jægerspris,10800000,Villalejlighed,347,5.0,1777,b,75,66.3,4274.0,4610.0,55.87005,11.99844,https://www.boliga.dk/adresse/vaenget-41-3630-jaegerspris-360818339
Vestergade 27,7620,Lemvig,1585000,Villa/Parcelhus,215,5.0,1929,D,193,66.6,2145.0,3082.0,56.54968,8.30509,https://www.boliga.dk/adresse/vestergade-27-7620-lemvig-1290625440
"Ved Havnen 14, Stubberup",4880,Nysted,2495000,Fritidshus,250,6.0,1971,C,6,66.6,1346.0,2975.0,54.66506,11.68791,https://www.boliga.dk/adresse/ved-havnen-14-4880-nysted-2106658841
"Havnevej 12C, 1. tv, Tejn",3770,Allinge,2700000,Fritidshus,73,3.0,2023,J,630,66.8,4561.0,3363.0,55.25027,14.83132,https://www.boliga.dk/adresse/havnevej-12c-1-tv-3770-allinge-262864883
"Juul Nielsenvej 23, Føns",5580,Nørre Aaby,1295000,Fritidshus,37,2.0,1930,-,97,67.0,1707.0,6493.0,55.42514,9.82352,https://www.boliga.dk/adresse/juul-nielsenvej-23-5580-noerre-aaby-1793335627
Thorsvej 63,4500,Nykøbing Sj,13495000,Fritidshus,175,8.0,1993,-,313,67.1,5245.0,1608.0,55.93895,11.65188,https://www.boliga.dk/adresse/thorsvej-63-4500-nykoebing-sj-1808134901
"Kystvejen 146, Strøby Egede",4600,Køge,7495000,Villa/Parcelhus,176,5.0,1969,B,432,67.1,2570.0,7519.0,55.41002,12.27033,https://www.boliga.dk/adresse/kystvejen-146-4600-koege-1541840248
"Østre Strandvej 131, Hasmark Strand",5450,Otterup,1795000,Fritidshus,66,4.0,1991,-,21,67.1,3201.0,9029.0,55.56003,10.46829,https://www.boliga.dk/adresse/oestre-strandvej-131-5450-otterup-1398568288
Sandvejen 101,5390,Martofte,6900000,Fritidshus,96,1.0,2015,-,55,67.5,10842.0,19674.0,55.61583,10.62118,https://www.boliga.dk/adresse/sandvejen-101-5390-martofte-1343840838
"Faarevejle Alle 1, Faarevejle",5900,Rudkøbing,2695000,Fritidshus,162,5.0,1915,G,1450,67.6,2324.0,3924.0,54.90801,10.70602,https://www.boliga.dk/adresse/faarevejle-alle-1-5900-rudkoebing-165070909
Dosseringen 38,5300,Kerteminde,6250000,Villa/Parcelhus,149,5.0,1968,c,253,67.8,4187.0,3545.0,55.44887,10.66472,https://www.boliga.dk/adresse/dosseringen-38-5300-kerteminde-864076203
"Tordenskjoldsvej 18, Tåsinge",5700,Svendborg,7950000,Villa/Parcelhus,151,5.0,1986,D,238,67.9,5618.0,997.0,55.04011,10.60126,https://www.boliga.dk/adresse/tordenskjoldsvej-18-5700-svendborg-1507934981
"Bundgarnet 135, Råbylille",4780,Stege,3375000,Fritidshus,117,3.0,1964,-,67,68.0,2692.0,7729.0,54.96381,12.40878,https://www.boliga.dk/adresse/bundgarnet-135-4780-stege-1784000362
Nordre Strandvej 131,3140,Ålsgårde,5995000,Villa/Parcelhus,121,2.0,1876,C,33,68.1,3913.0,5908.0,56.07236,12.55215,https://www.boliga.dk/adresse/nordre-strandvej-131-3140-aalsgaarde-2117347375
"Kystvejen 31C, Hou",9370,Hals,875000,Helårsgrund,0,0.0,0,-,97,68.3,4888.0,6293.0,57.05985,10.37615,https://www.boliga.dk/adresse/kystvejen-31c-9370-hals-1117371052
"Skudehavnen 8, st..",5900,Rudkøbing,1395000,Fritidshus,61,3.0,2008,B,103,68.3,1561.0,2622.0,54.94065,10.71243,https://www.boliga.dk/adresse/skudehavnen-8-st-5900-rudkoebing-2096592614
"Skudehavnen 10, 1.",5900,Rudkøbing,1495000,Fritidshus,61,3.0,2008,B,98,68.4,1565.0,2626.0,54.94063,10.71235,https://www.boliga.dk/adresse/skudehavnen-10-1-5900-rudkoebing-2003603376
"Klintevej 4, Spodsbjerg",5900,Rudkøbing,495000,Helårsgrund,0,0.0,0,-,1587,68.4,3069.0,4967.0,54.92894,10.82789,https://www.boliga.dk/adresse/klintevej-4-5900-rudkoebing-916710003
Kildetoften 6,5600,Faaborg,1595000,Fritidshus,122,4.0,1932,c,189,68.4,7136.0,10368.0,55.09913,10.23524,https://www.boliga.dk/adresse/kildetoften-6-5600-faaborg-298197489
"Spodsbjergvej 323, Spodsbjerg",5900,Rudkøbing,1395000,Fritidshus,137,4.0,1900,E,383,68.5,3091.0,4985.0,54.93084,10.82835,https://www.boliga.dk/adresse/spodsbjergvej-323-5900-rudkoebing-516067631
Bindesbøllsvej 7,9900,Frederikshavn,2695000,Villa/Parcelhus,144,3.0,1996,c,169,68.5,782.0,2140.0,57.40704,10.52366,https://www.boliga.dk/adresse/bindesboellsvej-7-9900-frederikshavn-671072504
"Kimingen 5, Venø",7600,Struer,1395000,Fritidshus,83,4.0,1976,-,442,68.7,3520.0,2816.0,56.54906,8.61917,https://www.boliga.dk/adresse/kimingen-5-7600-struer-1200568011
"Simons Bakke 56, Tilsted",7700,Thisted,1995000,Villa/Parcelhus,148,2.0,1929,E,119,68.8,2288.0,3584.0,56.95036,8.66613,https://www.boliga.dk/adresse/simons-bakke-56-7700-thisted-1955725712
Strandvænget 14,4200,Slagelse,6395000,Villa/Parcelhus,116,4.0,2018,-,131,69.2,2724.0,7238.0,55.40226,11.21495,https://www.boliga.dk/adresse/strandvaenget-14-4200-slagelse-610941763
"Klør-Fire 6, Brunsnæs",6310,Broager,3695000,Villa/Parcelhus,159,3.0,1877,K,84,69.2,1357.0,2767.0,54.86792,9.64254,https://www.boliga.dk/adresse/kloer-fire-6-6310-broager-806615619
Kildetoften 12,5600,Faaborg,2095000,Villa/Parcelhus,126,4.0,1934,E,167,69.4,7107.0,10339.0,55.0994,10.23479,https://www.boliga.dk/adresse/kildetoften-12-5600-faaborg-948775187
"Hejsager Strandby 33, Hejsager Strand",6100,Haderslev,3595000,Fritidshus,83,4.0,2002,-,393,69.4,2300.0,2669.0,55.19435,9.60414,https://www.boliga.dk/adresse/hejsager-strandby-33-6100-haderslev-431900154
Fjordvejen 6,7600,Struer,3895000,Villa/Parcelhus,297,5.0,1965,D,163,69.4,2795.0,1009.0,56.50098,8.58271,https://www.boliga.dk/adresse/fjordvejen-6-7600-struer-1923426397
"Alperosevej 7, Ulvshale",4780,Stege,4999000,Fritidshus,95,4.0,1957,-,593,69.5,988.0,3194.0,55.02814,12.30897,https://www.boliga.dk/adresse/alperosevej-7-4780-stege-647496742
Maglehøj Strandvej 38,4983,Dannemare,699000,Fritidshus,60,3.0,1935,-,56,69.7,2112.0,9312.0,54.73585,11.12591,https://www.boliga.dk/adresse/maglehoej-strandvej-38-4983-dannemare-272299039
Havnsø Møllevej 19,4591,Føllenslev,3495000,Villa/Parcelhus,110,3.0,1969,D,0,69.8,2560.0,3580.0,55.75321,11.31554,https://www.boliga.dk/adresse/havnsoe-moellevej-19-4591-foellenslev-1863467716
"Poppelvej 13, Hou",9370,Hals,1595000,Fritidshus,198,6.0,1916,D,97,69.8,4884.0,6315.0,57.05966,10.37606,https://www.boliga.dk/adresse/poppelvej-13-9370-hals-1442003212
"Kystvejen 64, Strøby Egede",4600,Køge,4995000,Fritidshus,60,3.0,1977,-,93,70.6,3477.0,8165.0,55.41433,12.25725,https://www.boliga.dk/adresse/kystvejen-64-4600-koege-110918543
"Postgade 2, st Tejn",3770,Allinge,2595000,Fritidshus,183,4.0,1969,D,308,70.8,4510.0,3908.0,55.24717,14.83796,https://www.boliga.dk/adresse/postgade-2-st-3770-allinge-1298573404
"Havnevej 12D, st., Tejn",3770,Allinge,2600000,Fritidshus,73,3.0,2023,-,1036,71.0,4556.0,3362.0,55.25024,14.83128,https://www.boliga.dk/adresse/havnevej-12d-st-3770-allinge-320749604
Duevej 17A,7080,Børkop,6995000,Fritidshus,125,5.0,1877,-,215,71.1,2035.0,3640.0,55.65495,9.73816,https://www.boliga.dk/adresse/duevej-17a-7080-boerkop-873435814
Mads Madsens Vænge 71,7080,Børkop,5995000,Fritidshus,136,5.0,2004,-,91,71.4,2024.0,4031.0,55.6596,9.73372,https://www.boliga.dk/adresse/mads-madsens-vaenge-71-7080-boerkop-1896529791
"Østre Strandvej 249, Hasmark Strand",5450,Otterup,1095000,Fritidshus,44,2.0,1991,-,34,71.6,3774.0,8944.0,55.55569,10.48022,https://www.boliga.dk/adresse/oestre-strandvej-249-5450-otterup-1171200863
Enø Kystvej 121,4736,Karrebæksminde,5250000,Villa/Parcelhus,269,7.0,1969,D,298,71.7,4572.0,10053.0,55.17234,11.66612,https://www.boliga.dk/adresse/enoe-kystvej-121-4736-karrebaeksminde-1258644610
Sommerstedvej 19,7830,Vinderup,3195000,Fritidshus,107,3.0,1998,-,158,71.7,1188.0,6345.0,56.47052,8.68858,https://www.boliga.dk/adresse/sommerstedvej-19-7830-vinderup-1906582376
Løvsangervej 4,8410,Rønde,2148000,Fritidshus,61,3.0,1960,-,22,71.7,729.0,1706.0,56.29614,10.42772,https://www.boliga.dk/adresse/loevsangervej-4-8410-roende-1027546531
Nordre Strandvej 149A,3140,Ålsgårde,5995000,Villa/Parcelhus,215,5.0,1963,b,40,71.9,3820.0,5984.0,56.07357,12.54962,https://www.boliga.dk/adresse/nordre-strandvej-149a-3140-aalsgaarde-813375017
Strandvolden 9,3730,Nexø,5995000,Fritidshus,192,5.0,1920,-,53,71.9,1851.0,2368.0,55.03992,15.10918,https://www.boliga.dk/adresse/strandvolden-9-3730-nexoe-1231827375
Præstegårdsvej 6,4660,Store Heddinge,13995000,Villalejlighed,331,8.0,2022,J,305,72.1,1367.0,10182.0,55.27552,12.438,https://www.boliga.dk/adresse/praestegaardsvej-6-4660-store-heddinge-1692662945
"Strandvejen 13, Hvalpsund",9640,Farsø,895000,Fritidshus,31,3.0,2025,-,268,72.1,3638.0,1097.0,56.69821,9.1897,https://www.boliga.dk/adresse/strandvejen-13-9640-farsoe-1422258534
"Nordre Strandvej 87B, Julebæk",3150,Hellebæk,8650000,Villa/Parcelhus,154,3.0,1859,B,64,72.4,4141.0,5740.0,56.06247,12.56841,https://www.boliga.dk/adresse/nordre-strandvej-87b-3150-hellebaek-1700963736
Strandbakken 17,4400,Kalundborg,6475000,Villa/Parcelhus,251,8.0,1962,E,602,72.5,2098.0,4629.0,55.69129,11.0413,https://www.boliga.dk/adresse/strandbakken-17-4400-kalundborg-2097660223
Nødebovejen 111,3390,Hundested,6000000,Fritidshus,92,4.0,1983,-,125,72.6,1671.0,2140.0,55.99251,11.90634,https://www.boliga.dk/adresse/noedebovejen-111-3390-hundested-12674959
Næsvej 70,4540,Fårevejle,17495000,Fritidshus,132,5.0,1968,-,327,72.7,7260.0,8096.0,55.84191,11.36794,https://www.boliga.dk/adresse/naesvej-70-4540-faarevejle-1172419072
"Strandvænget 16, Næsby Strand",4200,Slagelse,3945000,Fritidshus,89,4.0,1927,-,296,72.7,2711.0,7253.0,55.40214,11.21505,https://www.boliga.dk/adresse/strandvaenget-16-4200-slagelse-2017363648
Haulundsvej 106,9300,Sæby,1395000,Fritidshus,33,2.0,1962,-,9,72.9,4224.0,3269.0,57.34514,10.52097,https://www.boliga.dk/adresse/haulundsvej-106-9300-saeby-1986478213
Pallesdamvej 17,7840,Højslev,4945000,Villalejlighed,260,8.0,1901,c,218,72.9,5338.0,3633.0,56.59567,9.09268,https://www.boliga.dk/adresse/pallesdamvej-17-7840-hoejslev-408979686
"Røgerivej 2, Havnebyen",4583,Sjællands Odde,4995000,Villa/Parcelhus,90,4.0,1922,C,7,73.0,855.0,14189.0,55.97331,11.36059,https://www.boliga.dk/adresse/roegerivej-2-4583-sjaellands-odde-898409664
Nordre Strandvej 237C,3140,Ålsgårde,5995000,Villa/Parcelhus,156,5.0,1975,C,7,73.0,3463.0,6568.0,56.08067,12.53441,https://www.boliga.dk/adresse/nordre-strandvej-237c-3140-aalsgaarde-1557162529
"Mads Madsens Vænge 59, Mørkholt",7080,Børkop,5395000,Fritidshus,110,3.0,0,-,44,73.0,1975.0,4058.0,55.66012,9.73205,https://www.boliga.dk/adresse/mads-madsens-vaenge-59-7080-boerkop-1724545846
"Langsand 115, 1.",6960,Hvide Sande,3498000,Fritidshus,101,4.0,2022,-,50,73.4,405.0,562.0,56.00763,8.13494,https://www.boliga.dk/adresse/langsand-115-1-6960-hvide-sande-101491582
Kystvejen 326B,4671,Strøby,4250000,Fritidshus,89,3.0,1948,-,160,73.4,1103.0,6348.0,55.39979,12.30573,https://www.boliga.dk/adresse/kystvejen-326b-4671-stroeby-119477286
"Munkekrogen 23, Bogensø",5390,Martofte,3195000,Fritidshus,68,2.0,1951,-,21,73.5,5112.0,12922.0,55.53176,10.61934,https://www.boliga.dk/adresse/munkekrogen-23-5390-martofte-1799275850
Strandvejen 3,5970,Ærøskøbing,3495000,Fritidshus,121,4.0,1964,D,169,73.5,5835.0,975.0,54.89206,10.40948,https://www.boliga.dk/adresse/strandvejen-3-5970-aeroeskoebing-1412309429
Kongsmarkvej 183,4200,Slagelse,745000,Fritidshus,34,3.0,1957,-,302,73.6,2800.0,4827.0,55.42246,11.19685,https://www.boliga.dk/adresse/kongsmarkvej-183-4200-slagelse-917947574
Saltebakken 44,9900,Frederikshavn,3395000,Villa/Parcelhus,213,5.0,1961,B,186,73.6,1846.0,2821.0,57.42248,10.52707,https://www.boliga.dk/adresse/saltebakken-44-9900-frederikshavn-199276060
"Brinken 75, Strøby Egede",4600,Køge,3295000,Helårsgrund,0,0.0,0,-,757,73.7,3028.0,7838.0,55.4122,12.26365,https://www.boliga.dk/adresse/brinken-75-4600-koege-2119776935
Duevej 15E,7080,Børkop,5795000,Fritidshus,127,4.0,2023,-,419,74.0,2031.0,3674.0,55.65536,9.73783,https://www.boliga.dk/adresse/duevej-15e-7080-boerkop-923351701
"Mågevej 86, Midskov",5370,Mesinge,2350000,Fritidshus,63,3.0,2016,-,60,74.1,3445.0,11283.0,55.51769,10.62845,https://www.boliga.dk/adresse/maagevej-86-5370-mesinge-1893110843
Nordre Strandvej 26A,3000,Helsingør,9750000,Villa/Parcelhus,191,5.0,1974,D,42,74.3,5011.0,5437.0,56.04817,12.59763,https://www.boliga.dk/adresse/nordre-strandvej-26a-3000-helsingoer-1584082043
"Skippervej 13, Havnsø",4591,Føllenslev,3300000,Fritidshus,47,3.0,1968,-,481,74.3,2667.0,3836.0,55.75345,11.31088,https://www.boliga.dk/adresse/skippervej-13-4591-foellenslev-1605617249
Skansørevej 6,3000,Helsingør,7745000,Villa/Parcelhus,150,4.0,1971,D,90,74.4,5507.0,6030.0,56.02456,12.60507,https://www.boliga.dk/adresse/skansoerevej-6-3000-helsingoer-1270339003
Haulundsvej 88,9300,Sæby,2098000,Fritidshus,80,4.0,1969,-,481,74.5,4171.0,3206.0,57.34448,10.52118,https://www.boliga.dk/adresse/haulundsvej-88-9300-saeby-474810414
Havnevej 84A,7990,Øster Assels,2945000,Villa/Parcelhus,164,5.0,1959,E,39,74.6,1858.0,7128.0,56.68135,8.72786,https://www.boliga.dk/adresse/havnevej-84a-7990-oester-assels-853275549
"Fjordvejen 110, Sønderhav",6340,Kruså,4495000,Villa/Parcelhus,228,8.0,1912,D,58,74.6,3372.0,3633.0,54.86405,9.49991,https://www.boliga.dk/adresse/fjordvejen-110-6340-krusaa-1711205345
Samsøvej 8,8300,Odder,4895000,Fritidshus,116,5.0,1972,-,14,74.7,3990.0,4322.0,55.98495,10.2512,https://www.boliga.dk/adresse/samsoevej-8-8300-odder-1750727920
"Strandgade 57, Tåsinge",5700,Svendborg,6995000,Villa/Parcelhus,193,4.0,2019,J,6,74.8,4586.0,768.0,55.03593,10.63869,https://www.boliga.dk/adresse/strandgade-57-5700-svendborg-221870335
Plantagevej 4,3250,Gilleleje,13985000,Fritidshus,81,5.0,1951,-,90,74.8,2172.0,7084.0,56.12167,12.24903,https://www.boliga.dk/adresse/plantagevej-4-3250-gilleleje-1432233819
Greve Strandvej 161,2670,Greve,10495000,Helårsgrund,85,3.0,1934,g,32,74.9,4986.0,2684.0,55.5736,12.29215,https://www.boliga.dk/adresse/greve-strandvej-161-2670-greve-305308506
"Violvej 5, Lundeborg",5874,Hesselager,3495000,Fritidshus,127,4.0,1955,-,78,74.9,4905.0,5128.0,55.14453,10.78308,https://www.boliga.dk/adresse/violvej-5-5874-hesselager-2001979255
Skandsen 7,4900,Nakskov,995000,Villa/Parcelhus,107,4.0,1877,C,92,75.0,2137.0,1639.0,54.82726,11.13622,https://www.boliga.dk/adresse/skandsen-7-4900-nakskov-1752115488
"Hejsager Strandvej 278, Hejsager Strand",6100,Haderslev,1395000,Fritidshus,57,3.0,1989,-,82,75.0,2569.0,1790.0,55.19427,9.59033,https://www.boliga.dk/adresse/hejsager-strandvej-278-6100-haderslev-861623630
Fjordhusene 95,4736,Karrebæksminde,1350000,Fritidshus,48,2.0,1980,-,116,75.5,4412.0,10074.0,55.17384,11.66054,https://www.boliga.dk/adresse/fjordhusene-95-4736-karrebaeksminde-963695784
"Havnegade 7, Hasle",3790,Hasle,1195000,Villa/Parcelhus,115,4.0,1900,D,363,75.5,1620.0,2389.0,55.184,14.70398,https://www.boliga.dk/adresse/havnegade-7-3790-hasle-191716743
Feriebyen 140,3250,Gilleleje,3995000,Fritidshus,71,3.0,1986,-,60,75.6,1651.0,7491.0,56.12463,12.263,https://www.boliga.dk/adresse/feriebyen-140-3250-gilleleje-105488025
"Duevej 35, Yderby Lyng",4583,Sjællands Odde,4995000,Fritidshus,100,5.0,1967,-,266,75.7,4660.0,19156.0,55.99508,11.2869,https://www.boliga.dk/adresse/duevej-35-4583-sjaellands-odde-874074579
"Sundevej 49, Nederby",7884,Fur,2995000,Fritidshus,512,14.0,1920,B,0,75.7,1752.0,8406.0,56.81494,9.02455,https://www.boliga.dk/adresse/sundevej-49-7884-fur-1226610025
"Vesterhavsgade 1, Thorsminde",6990,Ulfborg,995000,Fritidshus,100,3.0,1967,E,481,75.7,4831.0,6217.0,56.37324,8.12067,https://www.boliga.dk/adresse/vesterhavsgade-1-6990-ulfborg-1188594192
Dovreåsvej 5,3700,Rønne,3750000,Villa/Parcelhus,176,4.0,1961,E,76,75.8,1332.0,1447.0,55.1158,14.70347,https://www.boliga.dk/adresse/dovreaasvej-5-3700-roenne-689765270
Sønderballe Strand 42,6100,Haderslev,2295000,Fritidshus,73,6.0,1964,-,243,76.3,3722.0,8695.0,55.13133,9.48022,https://www.boliga.dk/adresse/soenderballe-strand-42-6100-haderslev-1280713722
Strandgade 7,9300,Sæby,2745000,Fritidshus,139,6.0,1929,c,354,76.5,3601.0,2363.0,57.33313,10.52919,https://www.boliga.dk/adresse/strandgade-7-9300-saeby-458215274
"Vestre Strandvej 48, Hasmark Strand",5450,Otterup,1495000,Fritidshus,41,2.0,1992,-,71,76.8,2824.0,9444.0,55.56751,10.45161,https://www.boliga.dk/adresse/vestre-strandvej-48-5450-otterup-96182830
"Granbakken 3, Kolby Kås",8305,Samsø,3995000,Fritidshus,109,4.0,1949,C,28,76.9,3035.0,5631.0,55.79429,10.53022,https://www.boliga.dk/adresse/granbakken-3-8305-samsoe-1003921918
"Willemoesvej 1, Havnebyen",4583,Sjællands Odde,2500000,Villa/Parcelhus,128,4.0,1946,D,282,76.9,708.0,13755.0,55.97153,11.36718,https://www.boliga.dk/adresse/willemoesvej-1-4583-sjaellands-odde-473647014
"Højskolevej 11, Rønshoved",6340,Kruså,3995000,Villa/Parcelhus,179,6.0,1860,C,370,76.9,2343.0,3590.0,54.87552,9.52076,https://www.boliga.dk/adresse/hoejskolevej-11-6340-krusaa-1875384683
Nordre Strandvej 239B,3140,Ålsgårde,8995000,Villa/Parcelhus,176,5.0,2010,C,64,77.0,3435.0,6617.0,56.08085,12.53348,https://www.boliga.dk/adresse/nordre-strandvej-239b-3140-aalsgaarde-1825304926
Rærupvej 50,9310,Vodskov,5995000,Villa/Parcelhus,201,6.0,1850,K,32,77.2,362.0,3188.0,57.08976,10.0115,https://www.boliga.dk/adresse/raerupvej-50-9310-vodskov-1881419007
Kalundborgvej 13,4300,Holbæk,5195000,Villa/Parcelhus,157,5.0,1880,D,425,77.4,2931.0,2565.0,55.71863,11.70439,https://www.boliga.dk/adresse/kalundborgvej-13-4300-holbaek-723737294
"Nyvej 5, Hou",8300,Odder,6995000,Villa/Parcelhus,185,5.0,1961,C,215,77.5,1603.0,2383.0,55.91478,10.25581,https://www.boliga.dk/adresse/nyvej-5-8300-odder-590673391
"Lungsminde 32, Enø",4736,Karrebæksminde,2695000,Fritidshus,51,3.0,2019,-,51,77.5,4256.0,10289.0,55.17296,11.65644,https://www.boliga.dk/adresse/lungsminde-32-4736-karrebaeksminde-794024308
"Fiskenæsvej 2, 1. 1",6300,Gråsten,1799000,Fritidshus,63,3.0,2008,-,152,77.6,5342.0,1615.0,54.91811,9.60619,https://www.boliga.dk/adresse/fiskenaesvej-2-1-1-6300-graasten-1608621904
Strandporten 2,5610,Assens,1395000,Villa/Parcelhus,201,6.0,1855,E,63,77.6,2036.0,2119.0,55.27048,9.89094,https://www.boliga.dk/adresse/strandporten-2-5610-assens-11999838
Fiskenæsvej 2 st 5,6300,Gråsten,1695000,Fritidshus,63,3.0,2008,-,3087,77.6,5342.0,1615.0,54.91811,9.60619,https://www.boliga.dk/adresse/fiskenaesvej-2-st-5-6300-graasten-52836439
Landervejen 67,4281,Gørlev,2995000,Fritidshus,89,3.0,1969,-,496,77.6,4384.0,5566.0,55.5331,11.09883,https://www.boliga.dk/adresse/landervejen-67-4281-goerlev-1121992853
"Fiskenæsvej 2, 1. 4",6300,Gråsten,1599000,Fritidshus,63,3.0,2008,-,250,77.6,5342.0,1615.0,54.91811,9.60619,https://www.boliga.dk/adresse/fiskenaesvej-2-1-4-6300-graasten-241413984
Smedelinien 61,4400,Kalundborg,16495000,Fritidshus,92,6.0,1928,-,29,77.8,1503.0,4438.0,55.71314,11.00589,https://www.boliga.dk/adresse/smedelinien-61-4400-kalundborg-2047542988
"Gjelleroddevej 129, Gjellerodde",7620,Lemvig,1850000,Fritidshus,102,4.0,1968,-,27,78.0,1690.0,2417.0,56.5864,8.28299,https://www.boliga.dk/adresse/gjelleroddevej-129-7620-lemvig-2080028534
Ø.Strandløkkevej 7,5300,Kerteminde,995000,Fritidsgrund,0,0.0,0,-,16,78.0,3123.0,6012.0,55.46037,10.59755,https://www.boliga.dk/adresse/oestrandloekkevej-7-5300-kerteminde-24489800
Sylowsvej 63,4220,Korsør,2695000,Villa/Parcelhus,262,6.0,1900,C,306,78.3,2603.0,2521.0,55.32776,11.13372,https://www.boliga.dk/adresse/sylowsvej-63-4220-korsoer-557649196
"Toften 3, Kelstrup",4200,Slagelse,1895000,Fritidshus,132,6.0,1961,-,96,78.3,2678.0,5956.0,55.41275,11.20384,https://www.boliga.dk/adresse/toften-3-4200-slagelse-758450749
"Avnøvej 26, Bisserup",4243,Rude,3395000,Fritidshus,60,4.0,1928,-,32,78.5,2401.0,6105.0,55.19967,11.51051,https://www.boliga.dk/adresse/avnoevej-26-4243-rude-3662438
Kystvejen 7,9850,Hirtshals,2995000,Fritidshus,174,4.0,1926,C,215,78.5,1766.0,3713.0,57.59087,9.95465,https://www.boliga.dk/adresse/kystvejen-7-9850-hirtshals-1880197185
Havnegade 15,7790,Thyholm,1200000,Fritidsgrund,0,0.0,0,-,925,78.7,1252.0,442.0,56.65123,8.63313,https://www.boliga.dk/adresse/havnegade-15-7790-thyholm-664047
"Havnevej 12A, Tejn",3770,Allinge,5300000,Fritidshus,146,6.0,2023,J,448,78.8,4548.0,3391.0,55.25005,14.83159,https://www.boliga.dk/adresse/havnevej-12a-3770-allinge-1237758220
"Forårsvej 11, Jørgensø Strand",5450,Otterup,1375000,Fritidshus,36,2.0,1960,-,42,78.8,3211.0,10334.0,55.578,10.43277,https://www.boliga.dk/adresse/foraarsvej-11-5450-otterup-19266488
"Kristoffervejen 56, pcl. 5., Elsegårde",8400,Ebeltoft,595000,Fritidsgrund,5,2.0,0,-,294,78.9,1201.0,8702.0,56.14429,10.71557,https://www.boliga.dk/adresse/kristoffervejen-56-8400-ebeltoft-172516447
