adresse,postnummer,by,pris,type,kvm,vaerelser,byggeaar,energimaerke,liggetid,afstand_m,afstand_vindm_m,afstand_sol_m,lat,lng,url
"Øerkrogvejen 2, 110.",8400,Ebeltoft,1598000,Fritidshus,58,3.0,1988,-,132,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-110-8400-ebeltoft-903662711
"Øerkrogvejen 2 609, Øer Martime Ferieby",8400,Ebeltoft,1495000,Fritidshus,63,3.0,1988,-,435,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-609-8400-ebeltoft-1488860972
"Øerkrogvejen 2, 256.",8400,Ebeltoft,1498000,Fritidshus,58,4.0,1988,-,525,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-256-8400-ebeltoft-128127762
Øerkrogvejen 2 705,8400,Ebeltoft,1795000,Fritidshus,58,5.0,1988,-,82,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-705-8400-ebeltoft-1849548253
Øerkrogvejen 2 706,8400,Ebeltoft,1495000,Fritidshus,70,3.0,1988,-,102,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-706-8400-ebeltoft-1645961860
Øerkrogvejen 2 330,8400,Ebeltoft,1795000,Fritidshus,63,3.0,1988,-,97,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-330-8400-ebeltoft-2039900746
Slotsbryggen 21,4800,Nykøbing F,4500000,Fritidshus,180,12.0,2020,-,83,9.7,3647.0,2364.0,54.77207,11.86339,https://www.boliga.dk/adresse/slotsbryggen-21-4800-nykoebing-f-1578692778
"Toftvej 15A, Toft",6300,Gråsten,2795000,Fritidshus,140,5.0,2004,-,25,10.8,4630.0,2147.0,54.90922,9.59812,https://www.boliga.dk/adresse/toftvej-15a-6300-graasten-942523418
Strandlysthuse 6,5330,Munkebo,2395000,Fritidshus,58,3.0,2012,-,239,13.0,2307.0,7278.0,55.45121,10.55678,https://www.boliga.dk/adresse/strandlysthuse-6-5330-munkebo-610928915
Brohave 5,5881,Skårup Fyn,3995000,Fritidshus,55,2.0,2006,-,254,13.3,2712.0,657.0,55.07868,10.75103,https://www.boliga.dk/adresse/brohave-5-5881-skaarup-fyn-1579684997
Skakkes Holm 76A,8500,Grenaa,2995000,Fritidshus,175,6.0,2005,-,1353,15.0,3057.0,1735.0,56.40549,10.92583,https://www.boliga.dk/adresse/skakkes-holm-76a-8500-grenaa-1200350203
"Vestre Mole 18, Bønnerup Strand",8585,Glesborg,1098000,Fritidshus,30,2.0,2004,-,322,15.4,416.0,8907.0,56.53171,10.71059,https://www.boliga.dk/adresse/vestre-mole-18-8585-glesborg-1554127546
Vestre Mole 24,8585,Glesborg,1098000,Fritidshus,30,2.0,2005,-,194,15.4,420.0,8900.0,56.53173,10.71045,https://www.boliga.dk/adresse/vestre-mole-24-8585-glesborg-1300376061
"Husbåden ""ELLENOR"" 1",4300,Holbæk,795000,Fritidshus,100,4.0,1919,-,237,15.6,2889.0,3375.0,55.72069,11.71675,https://www.boliga.dk/adresse/husbaaden-4300-holbaek-8301581
Vestre Mole 22,8585,Glesborg,987000,Fritidshus,30,2.0,2005,-,32,15.8,419.0,8902.0,56.53172,10.71049,https://www.boliga.dk/adresse/vestre-mole-22-8585-glesborg-1573419853
"Bryggen 17, 1. mf.",6300,Gråsten,595000,Landejendom,66,2.0,2001,C,26,15.8,5022.0,1493.0,54.91926,9.60093,https://www.boliga.dk/adresse/bryggen-17-1-mf-6300-graasten-1102680912
"Ny Havnevej 13, Bønnerup Strand",8585,Glesborg,1495000,Fritidshus,77,3.0,2000,-,1436,16.0,260.0,9014.0,56.53303,10.71166,https://www.boliga.dk/adresse/ny-havnevej-13-8585-glesborg-1324221432
Rytsebækvej 37,4780,Stege,4250000,Fritidshus,27,1.0,1985,-,277,16.1,3885.0,4148.0,54.90577,12.23866,https://www.boliga.dk/adresse/rytsebaekvej-37-4780-stege-731578501
Skudehavnen 55 st,5900,Rudkøbing,2195000,Fritidshus,67,3.0,1989,e,20,16.6,1536.0,2611.0,54.94203,10.71362,https://www.boliga.dk/adresse/skudehavnen-55-st-5900-rudkoebing-291524911
"Havnebryggen 5, 1. 16., Svaneke",3740,Svaneke,1595000,Fritidshus,39,2.0,1900,-,21,16.8,1559.0,2644.0,55.13581,15.14386,https://www.boliga.dk/adresse/havnebryggen-5-1-16-3740-svaneke-187709891
Gersøvej 52,5450,Otterup,695000,Fritidshus,39,2.0,2005,-,524,16.9,2975.0,4988.0,55.48887,10.48815,https://www.boliga.dk/adresse/gersoevej-52-5450-otterup-1256545357
Søfronten 65,4736,Karrebæksminde,4795000,Fritidshus,78,3.0,2002,C,126,17.5,3210.0,10492.0,55.17673,11.64061,https://www.boliga.dk/adresse/soefronten-65-4736-karrebaeksminde-261323839
"Fynshovedvej 838, Nordskov",5390,Martofte,4510000,Fritidshus,61,2.0,2014,-,23,17.9,11549.0,18539.0,55.6082,10.60921,https://www.boliga.dk/adresse/fynshovedvej-838-5390-martofte-2117777661
Varnæsvej 221,6200,Aabenraa,5000000,Fritidshus,46,3.0,1934,-,175,18.3,5160.0,3346.0,55.0172,9.46538,https://www.boliga.dk/adresse/varnaesvej-221-6200-aabenraa-236472484
Ved Stranden 3,5600,Faaborg,4695000,Villa/Parcelhus,240,7.0,1978,F,48,19.2,6642.0,7927.0,55.08286,10.27744,https://www.boliga.dk/adresse/ved-stranden-3-5600-faaborg-399538182
Sejlhusene 31,7600,Struer,1245000,Helårsgrund,0,0.0,0,-,1147,19.9,3480.0,369.0,56.49503,8.58702,https://www.boliga.dk/adresse/sejlhusene-31-7600-struer-407211886
"Mamrelund 6, st. D",6960,Hvide Sande,1795000,Fritidshus,66,3.0,2017,-,56,19.9,969.0,340.0,55.99888,8.12845,https://www.boliga.dk/adresse/mamrelund-6-st-d-6960-hvide-sande-1838845093
Skakkes Holm 76D,8500,Grenaa,3495000,Fritidshus,169,6.0,2005,D,53,20.7,3067.0,1754.0,56.40539,10.92613,https://www.boliga.dk/adresse/skakkes-holm-76d-8500-grenaa-781879659
"Skudehavnen 31, st.",5900,Rudkøbing,1495000,Fritidshus,67,3.0,1989,E,607,20.8,1497.0,2568.0,54.94131,10.71381,https://www.boliga.dk/adresse/skudehavnen-31-st-5900-rudkoebing-531296179
Færgegården 5,4800,Nykøbing F,3995000,Villa/Parcelhus,182,4.0,1827,b,456,21.2,3078.0,1975.0,54.76871,11.85596,https://www.boliga.dk/adresse/faergegaarden-5-4800-nykoebing-f-2017017416
Klinten 2,4200,Slagelse,4895000,Fritidshus,52,2.0,1927,-,231,21.2,2827.0,6543.0,55.40772,11.20712,https://www.boliga.dk/adresse/klinten-2-4200-slagelse-2015501377
Saltebakken 50A,9900,Frederikshavn,6995000,Fritidshus,190,5.0,2021,J,201,21.7,1938.0,2746.0,57.42327,10.52764,https://www.boliga.dk/adresse/saltebakken-50a-9900-frederikshavn-413693706
"Gambøtvej 29, st.., Thurø",5700,Svendborg,7795000,Fritidshus,153,3.0,2024,J,209,21.8,3090.0,2731.0,55.04248,10.6681,https://www.boliga.dk/adresse/gamboetvej-29-st-5700-svendborg-809425397
Gambøtvej 29 1 th,5700,Svendborg,6975000,Fritidshus,121,3.0,2024,J,34,21.8,3090.0,2731.0,55.04248,10.6681,https://www.boliga.dk/adresse/gamboetvej-29-1-th-5700-svendborg-1773628286
Nordøstvej 2,5800,Nyborg,4995000,Fritidshus,43,2.0,1980,-,6,22.4,3596.0,5799.0,55.3992,10.74106,https://www.boliga.dk/adresse/nordoestvej-2-5800-nyborg-992332453
Stenene 25,5390,Martofte,4995000,Fritidshus,110,7.0,1934,-,118,22.5,7909.0,14886.0,55.55652,10.6098,https://www.boliga.dk/adresse/stenene-25-5390-martofte-1657645976
Lyøvej 1,5600,Faaborg,4995000,Fritidshus,57,3.0,1911,-,257,23.0,1133.0,13526.0,55.08996,10.12487,https://www.boliga.dk/adresse/lyoevej-1-5600-faaborg-489140451
Gambøtvej 35 1 th,5700,Svendborg,7825000,Fritidshus,136,3.0,2024,J,34,23.1,3119.0,2669.0,55.04236,10.66716,https://www.boliga.dk/adresse/gamboetvej-35-1-th-5700-svendborg-495141648
Gambøtvej 35 st,5700,Svendborg,9995000,Fritidshus,169,3.0,2024,J,34,23.1,3119.0,2669.0,55.04236,10.66716,https://www.boliga.dk/adresse/gamboetvej-35-st-5700-svendborg-2115203920
"Gambøtvej 35, 1. tv., Thurø",5700,Svendborg,5975000,Fritidshus,105,2.0,2024,J,210,23.1,3119.0,2669.0,55.04236,10.66716,https://www.boliga.dk/adresse/gamboetvej-35-1-tv-5700-svendborg-1916326104
